player,prop_type,fair_line,book_line,bet_type,ev,edge,score,implied_prob,true_prob,american_odds,bookmaker,total_bookmakers,game
Brook Lopez,points,12.5,11.5,OVER,6.12%,-3.0%,3.375,54.6%,51.6%,-121,median(fanduel),12,Bucks @ Lakers
Matas Buzelis,points+rebounds+assists,17.5,16.5,OVER,6.00%,-3.2%,3.233999999999999,52.6%,49.4%,-111,median(bovada),9,Bulls @ Kings
Scottie Barnes,points,18.5,17.5,OVER,5.39%,-3.4%,2.7469999999999994,54.8%,51.3%,-121,median(caesars),17,Raptors @ Warriors
Austin Reaves,points+assists,32.5,31.5,OVER,5.40%,-3.5%,2.7329999999999988,53.5%,50.0%,-115,median(hardrockbet),10,Bucks @ Lakers
Luka Doncic,points+rebounds+assists,49.5,48.5,OVER,5.40%,-3.5%,2.7329999999999988,53.5%,50.0%,-115,median(hardrockbet),9,Bucks @ Lakers
Stephen Curry,points,26.5,25.5,OVER,5.40%,-3.5%,2.7329999999999988,53.5%,50.0%,-115,median(fanatics),18,Raptors @ Warriors
Luka Doncic,points+rebounds,41.5,40.5,OVER,5.40%,-3.5%,2.7329999999999988,53.5%,50.0%,-115,median(hardrockbet),9,Bucks @ Lakers
Jimmy Butler,points+rebounds,24.5,23.5,OVER,5.40%,-3.5%,2.7329999999999988,53.5%,50.0%,-115,median(espnbet),8,Raptors @ Warriors
Jimmy Butler,points+assists,24.5,23.5,OVER,5.40%,-3.5%,2.7329999999999988,53.5%,50.0%,-115,median(draftkings),7,Raptors @ Warriors
Stephen Curry,points+rebounds+assists,36.5,35.5,OVER,5.40%,-3.5%,2.7329999999999988,53.5%,50.0%,-115,median(bet365),15,Raptors @ Warriors
Miles Bridges,points,22.5,21.5,OVER,5.40%,-3.5%,2.7329999999999988,53.5%,50.0%,-115,median(espnbet),15,Knicks @ Hornets
Matas Buzelis,points+rebounds,15.5,14.5,OVER,5.40%,-3.5%,2.7329999999999988,53.5%,50.0%,-115,median(draftkings),7,Bulls @ Kings
Kyle Kuzma,points+rebounds+assists,22.5,21.5,OVER,5.34%,-3.4%,2.714999999999999,55.6%,52.1%,-125,median(bovada),5,Bucks @ Lakers
Myles Turner,points,15.5,14.5,OVER,5.20%,-3.5%,2.5780000000000003,54.5%,51.0%,-120,median(fanatics),13,Nets @ Pacers
Luka Doncic,points,32.5,31.5,OVER,5.20%,-3.5%,2.5780000000000003,54.5%,51.0%,-120,median(unknown),13,Bucks @ Lakers
Moses Moody,points+rebounds,15.5,14.5,OVER,5.20%,-3.5%,2.5780000000000003,54.5%,51.0%,-120,median(fanduel),7,Raptors @ Warriors
Kyle Kuzma,points+assists,16.5,15.5,OVER,5.20%,-3.5%,2.5780000000000003,54.5%,51.0%,-120,median(hardrockbet),7,Bucks @ Lakers
