player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers,prop_type
Matas Buzelis,Bulls @ Heat,Heat,Bulls,1.5,prophetexchange,110.0,2.1,0.4762,108.0,0.4808,0.97,espnbet,-115.0,1.8696,0.5349,-108.0,0.5192,-2.93,19,17,19,threePointersMade
Brook Lopez,Magic @ Bucks,Bucks,Magic,1.5,betrivers,132.0,2.32,0.431,128.0,0.4386,1.76,prizepicks,-118.0,1.8475,0.5413,-128.0,0.5614,3.72,17,17,18,threePointersMade
Tyler Herro,Bulls @ Heat,Heat,Bulls,3.5,betrivers,-108.0,1.9259,0.5192,100.0,0.5,-3.71,fanduel,-102.0,1.9804,0.5049,100.0,0.5,-0.98,18,17,18,threePointersMade
Cade Cunningham,Pistons @ Warriors,Warriors,Pistons,2.5,prophetexchange,154.0,2.54,0.3937,137.0,0.4219,7.16,espnbet,-150.0,1.6667,0.6,-137.0,0.5781,-3.65,17,15,17,threePointersMade
Dorian Finneysmith,Lakers @ Celtics,Celtics,Lakers,1.5,draftkings,100.0,2.0,0.5,-108.0,0.5192,3.84,betparx,102.0,2.02,0.495,108.0,0.4808,-2.88,17,16,17,threePointersMade
Franz Wagner,Magic @ Bucks,Bucks,Magic,1.5,bet365,-130.0,1.7692,0.5652,100.0,0.5,-11.54,prophetexchange,110.0,2.1,0.4762,100.0,0.5,5.0,16,16,17,threePointersMade
Jaylen Brown,Lakers @ Celtics,Celtics,Lakers,1.5,betmgm,-135.0,1.7407,0.5745,-137.0,0.5781,0.63,bet365,155.0,2.55,0.3922,137.0,0.4219,7.58,16,16,17,threePointersMade
Jayson Tatum,Lakers @ Celtics,Celtics,Lakers,3.5,betmgm,115.0,2.15,0.4651,109.0,0.4785,2.88,fanduel,-118.0,1.8475,0.5413,-109.0,0.5215,-3.65,17,16,17,threePointersMade
Josh Giddey,Bulls @ Heat,Heat,Bulls,1.5,draftkings,105.0,2.05,0.4878,117.0,0.4608,-5.54,fanduel,-128.0,1.7812,0.5614,-117.0,0.5392,-3.96,16,16,17,threePointersMade
Jrue Holiday,Lakers @ Celtics,Celtics,Lakers,1.5,betparx,123.0,2.23,0.4484,129.0,0.4367,-2.62,betmgm,-110.0,1.9091,0.5238,-129.0,0.5633,7.54,17,15,17,threePointersMade
Kyle Kuzma,Magic @ Bucks,Bucks,Magic,1.5,fanduel,116.0,2.16,0.463,125.0,0.4444,-4.01,prizepicks,-118.0,1.8475,0.5413,-125.0,0.5556,2.65,17,16,17,threePointersMade
Luka Doncic,Lakers @ Celtics,Celtics,Lakers,3.5,draftkings,100.0,2.0,0.5,108.0,0.4808,-3.84,underdog,-118.0,1.8475,0.5413,-108.0,0.5192,-4.08,17,16,17,threePointersMade
Malik Beasley,Pistons @ Warriors,Warriors,Pistons,3.5,prophetexchange,-118.0,1.8475,0.5413,-116.0,0.537,-0.79,hardrockbet,110.0,2.1,0.4762,116.0,0.463,-2.77,17,16,17,threePointersMade
Paolo Banchero,Magic @ Bucks,Bucks,Magic,1.5,betrivers,-132.0,1.7576,0.569,100.0,0.5,-12.12,bovada,128.0,2.28,0.4386,100.0,0.5,14.0,16,16,17,threePointersMade
Stephen Curry,Pistons @ Warriors,Warriors,Pistons,5.5,draftkings,120.0,2.2,0.4545,118.0,0.4587,0.91,underdog,-118.0,1.8475,0.5413,-118.0,0.5413,0.01,17,16,17,threePointersMade
Austin Reaves,Lakers @ Celtics,Celtics,Lakers,2.5,hardrockbet,125.0,2.25,0.4444,125.0,0.4444,-0.01,fanatics,-140.0,1.7143,0.5833,-125.0,0.5556,-4.75,16,15,16,threePointersMade
Cole Anthony,Magic @ Bucks,Bucks,Magic,1.5,bet365,150.0,2.5,0.4,164.0,0.3788,-5.3,bet365,-185.0,1.5405,0.6491,-164.0,0.6212,-4.3,16,15,16,threePointersMade
