player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Jaylen Brown,Lakers @ Celtics,Celtics,Lakers,4.5,fanduel,104.0,2.04,0.4902,110.0,0.4762,-2.86,prophetexchange,-112.0,1.8929,0.5283,-110.0,0.5238,-0.85,19,19,20
Franz Wagner,Magic @ Bucks,Bucks,Magic,3.5,bet365,-110.0,1.9091,0.5238,100.0,0.5,-4.55,betmgm,110.0,2.1,0.4762,100.0,0.5,5.0,18,18,19
Tyler Herro,Bulls @ Heat,Heat,Bulls,6.5,pinnacle,-113.0,1.885,0.5305,-120.0,0.5455,2.83,ballybet,116.0,2.16,0.463,120.0,0.4545,-1.83,19,18,19
Ausar Thompson,Pistons @ Warriors,Warriors,Pistons,2.5,fanduel,142.0,2.42,0.4132,-127.0,0.5595,35.4,caesars,126.0,2.26,0.4425,127.0,0.4405,-0.45,18,17,18
Austin Reaves,Lakers @ Celtics,Celtics,Lakers,4.5,fanduel,120.0,2.2,0.4545,120.0,0.4545,-0.01,hardrockbet,-120.0,1.8333,0.5455,-120.0,0.5455,0.01,18,16,18
Cade Cunningham,Pistons @ Warriors,Warriors,Pistons,9.5,ballybet,114.0,2.14,0.4673,100.0,0.5,7.0,prophetexchange,100.0,2.0,0.5,100.0,0.5,0.0,17,17,18
Coby White,Bulls @ Heat,Heat,Bulls,4.5,unknown,120.0,2.2,0.4545,100.0,0.5,10.0,bovada,130.0,2.3,0.4348,100.0,0.5,15.0,18,17,18
Damian Lillard,Magic @ Bucks,Bucks,Magic,5.5,bet365,100.0,2.0,0.5,100.0,0.5,0.0,draftkings,100.0,2.0,0.5,100.0,0.5,0.0,18,17,18
Giannis Antetokounmpo,Magic @ Bucks,Bucks,Magic,5.5,pinnacle,160.0,2.6,0.3846,100.0,0.5,30.0,fanduel,-106.0,1.9434,0.5146,100.0,0.5,-2.83,17,17,18
Josh Giddey,Bulls @ Heat,Heat,Bulls,6.5,fanatics,105.0,2.05,0.4878,113.0,0.4695,-3.75,bovada,150.0,2.5,0.4,-113.0,0.5305,32.62,18,18,18
Jrue Holiday,Lakers @ Celtics,Celtics,Lakers,3.5,fanduel,124.0,2.24,0.4464,125.0,0.4444,-0.45,prophetexchange,-130.0,1.7692,0.5652,-125.0,0.5556,-1.7,18,17,18
Lebron James,Lakers @ Celtics,Celtics,Lakers,6.5,fanduel,112.0,2.12,0.4717,112.0,0.4717,0.0,betmgm,-110.0,1.9091,0.5238,-112.0,0.5283,0.86,18,17,18
Luka Doncic,Lakers @ Celtics,Celtics,Lakers,7.5,prophetexchange,130.0,2.3,0.4348,100.0,0.5,15.0,betmgm,100.0,2.0,0.5,100.0,0.5,0.0,18,17,18
Stephen Curry,Pistons @ Warriors,Warriors,Pistons,6.5,unknown,125.0,2.25,0.4444,127.0,0.4405,-0.89,fanatics,105.0,2.05,0.4878,-127.0,0.5595,14.7,18,16,18
Derrick White,Lakers @ Celtics,Celtics,Lakers,3.5,fliff,120.0,2.2,0.4545,134.0,0.4274,-5.97,fanduel,124.0,2.24,0.4464,-134.0,0.5726,28.26,17,16,17
Jalen Duren,Pistons @ Warriors,Warriors,Pistons,2.5,prizepicks,-118.0,1.8475,0.5413,-127.0,0.5595,3.37,fanduel,132.0,2.32,0.431,127.0,0.4405,2.2,17,16,17
Jalen Green,Pelicans @ Rockets,Rockets,Pelicans,3.5,fanduel,132.0,2.32,0.431,135.0,0.4255,-1.28,betrivers,120.0,2.2,0.4545,-135.0,0.5745,26.39,17,15,17
Bam Adebayo,Bulls @ Heat,Heat,Bulls,3.5,fanduel,124.0,2.24,0.4464,136.0,0.4237,-5.09,prophetexchange,142.0,2.42,0.4132,-136.0,0.5763,39.46,15,16,16
