player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Brook Lopez,Magic @ Bucks,Bucks,Magic,2.5,ballybet,102.0,2.02,0.495,101.0,0.4975,0.5,bet365,-115.0,1.8696,0.5349,-101.0,0.5025,-6.05,6,5,6
Jayson Tatum,Lakers @ Celtics,Celtics,Lakers,1.5,ballybet,-110.0,1.9091,0.5238,-112.0,0.5283,0.86,bet365,115.0,2.15,0.4651,112.0,0.4717,1.42,6,5,6
Ausar Thompson,Pistons @ Warriors,Warriors,Pistons,2.5,ballybet,-103.0,1.9709,0.5074,107.0,0.4831,-4.79,underdog,-118.0,1.8475,0.5413,-107.0,0.5169,-4.5,5,4,5
Bam Adebayo,Bulls @ Heat,Heat,Bulls,1.5,ballybet,-129.0,1.7752,0.5633,-141.0,0.5851,3.87,draftkings,135.0,2.35,0.4255,141.0,0.4149,-2.5,5,4,5
Cade Cunningham,Pistons @ Warriors,Warriors,Pistons,1.5,ballybet,-105.0,1.9524,0.5122,-102.0,0.5049,-1.42,bet365,-110.0,1.9091,0.5238,102.0,0.495,-5.5,5,4,5
Derrick White,Lakers @ Celtics,Celtics,Lakers,1.5,ballybet,-141.0,1.7092,0.5851,-146.0,0.5935,1.44,bet365,145.0,2.45,0.4082,146.0,0.4065,-0.41,5,4,5
Giannis Antetokounmpo,Magic @ Bucks,Bucks,Magic,1.5,ballybet,132.0,2.32,0.431,148.0,0.4032,-6.46,draftkings,150.0,2.5,0.4,-148.0,0.5968,49.2,5,4,5
Lebron James,Lakers @ Celtics,Celtics,Lakers,1.5,ballybet,116.0,2.16,0.463,121.0,0.4525,-2.26,bet365,-135.0,1.7407,0.5745,-121.0,0.5475,-4.7,5,4,5
Matas Buzelis,Bulls @ Heat,Heat,Bulls,1.5,ballybet,-107.0,1.9346,0.5169,-102.0,0.5049,-2.32,bet365,-110.0,1.9091,0.5238,102.0,0.495,-5.5,5,4,5
Paolo Banchero,Magic @ Bucks,Bucks,Magic,1.5,bet365,120.0,2.2,0.4545,124.0,0.4464,-1.79,draftkings,-125.0,1.8,0.5556,-124.0,0.5536,-0.35,5,4,5
Tobias Harris,Pistons @ Warriors,Warriors,Pistons,1.5,ballybet,-112.0,1.8929,0.5283,100.0,0.5,-5.35,bet365,-105.0,1.9524,0.5122,100.0,0.5,-2.38,5,4,5
Dennis Schroder,Pistons @ Warriors,Warriors,Pistons,0.5,prizepicks,-118.0,1.8475,0.5413,-111.0,0.5261,-2.8,bet365,100.0,2.0,0.5,111.0,0.4739,-5.22,4,3,4
Draymond Green,Pistons @ Warriors,Warriors,Pistons,2.5,ballybet,135.0,2.35,0.4255,-115.0,0.5349,25.7,bet365,110.0,2.1,0.4762,115.0,0.4651,-2.33,4,3,4
Isaiah Stewart,Pistons @ Warriors,Warriors,Pistons,1.5,prizepicks,-118.0,1.8475,0.5413,-113.0,0.5305,-1.99,bet365,105.0,2.05,0.4878,113.0,0.4695,-3.75,4,3,4
Jaylen Brown,Lakers @ Celtics,Celtics,Lakers,1.5,bet365,-120.0,1.8333,0.5455,-105.0,0.5122,-6.1,bet365,-110.0,1.9091,0.5238,105.0,0.4878,-6.87,4,3,4
Stephen Curry,Pistons @ Warriors,Warriors,Pistons,1.5,bet365,-105.0,1.9524,0.5122,106.0,0.4854,-5.23,prizepicks,-118.0,1.8475,0.5413,-106.0,0.5146,-4.93,4,3,4
Andrew Wiggins,Bulls @ Heat,Heat,Bulls,1.5,hardrockbet,-165.0,1.6061,0.6226,-144.0,0.5902,-5.21,ballybet,135.0,2.35,0.4255,144.0,0.4098,-3.7,3,2,3
Jalen Duren,Pistons @ Warriors,Warriors,Pistons,2.5,ballybet,145.0,2.45,0.4082,150.0,0.4,-2.0,bet365,-170.0,1.5882,0.6296,-150.0,0.6,-4.71,3,2,3
Jimmy Butler,Pistons @ Warriors,Warriors,Pistons,1.5,hardrockbet,-110.0,1.9091,0.5238,106.0,0.4854,-7.33,prizepicks,-118.0,1.8475,0.5413,-106.0,0.5146,-4.93,3,2,3
Josh Giddey,Bulls @ Heat,Heat,Bulls,1.5,ballybet,-115.0,1.8696,0.5349,-116.0,0.537,0.4,bet365,110.0,2.1,0.4762,116.0,0.463,-2.77,3,2,3
Kelel Ware,Bulls @ Heat,Heat,Bulls,2.5,bet365,130.0,2.3,0.4348,138.0,0.4202,-3.35,ballybet,135.0,2.35,0.4255,-138.0,0.5798,36.25,3,2,3
Payton Pritchard,Lakers @ Celtics,Celtics,Lakers,1.5,prophetexchange,184.0,2.84,0.3521,167.0,0.3745,6.36,bet365,-200.0,1.5,0.6667,-167.0,0.6255,-6.18,3,1,3
Scottie Barnes,Wizards @ Raptors,Raptors,Wizards,2.5,bet365,-115.0,1.8696,0.5349,100.0,0.5,-6.52,bet365,-115.0,1.8696,0.5349,100.0,0.5,-6.52,3,3,3
