player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Giannis Antetokounmpo,Magic @ Bucks,Bucks,Magic,1.5,caesars,200.0,3.0,0.3333,191.0,0.3436,3.08,draftkings,185.0,2.85,0.3509,-191.0,0.6563,87.05,11,8,12
Bam Adebayo,Bulls @ Heat,Heat,Bulls,0.5,caesars,350.0,4.5,0.2222,-114.0,0.5327,139.71,draftkings,124.0,2.24,0.4464,114.0,0.4673,4.68,10,6,10
Brook Lopez,Magic @ Bucks,Bucks,Magic,1.5,ballybet,-137.0,1.7299,0.5781,100.0,0.5,-13.51,betmgm,115.0,2.15,0.4651,100.0,0.5,7.5,10,7,10
Derrick White,Lakers @ Celtics,Celtics,Lakers,0.5,caesars,325.0,4.25,0.2353,-108.0,0.5192,120.66,draftkings,130.0,2.3,0.4348,108.0,0.4808,10.58,10,7,10
Draymond Green,Pistons @ Warriors,Warriors,Pistons,1.5,draftkings,180.0,2.8,0.3571,100.0,0.5,40.0,betmgm,-220.0,1.4545,0.6875,100.0,0.5,-27.28,10,7,10
Paolo Banchero,Magic @ Bucks,Bucks,Magic,0.5,caesars,550.0,6.5,0.1538,121.0,0.4525,194.12,draftkings,-125.0,1.8,0.5556,-121.0,0.5475,-1.45,10,6,10
Jayson Tatum,Lakers @ Celtics,Celtics,Lakers,0.5,caesars,700.0,8.0,0.125,151.0,0.3984,218.72,draftkings,-160.0,1.625,0.6154,-151.0,0.6016,-2.24,9,6,9
Lebron James,Lakers @ Celtics,Celtics,Lakers,0.5,caesars,550.0,6.5,0.1538,119.0,0.4566,196.79,draftkings,-130.0,1.7692,0.5652,-119.0,0.5434,-3.86,9,6,9
Andrew Wiggins,Bulls @ Heat,Heat,Bulls,0.5,prophetexchange,-111.0,1.9009,0.5261,100.0,0.5,-4.95,betparx,135.0,2.35,0.4255,100.0,0.5,17.5,8,5,8
Ausar Thompson,Pistons @ Warriors,Warriors,Pistons,0.5,ballybet,135.0,2.35,0.4255,145.0,0.4082,-4.07,prophetexchange,-125.0,1.8,0.5556,-145.0,0.5918,6.52,7,5,8
Cade Cunningham,Pistons @ Warriors,Warriors,Pistons,0.5,ballybet,125.0,2.25,0.4444,131.0,0.4329,-2.6,prophetexchange,-136.0,1.7353,0.5763,-131.0,0.5671,-1.59,7,5,8
Jalen Duren,Pistons @ Warriors,Warriors,Pistons,0.5,caesars,175.0,2.75,0.3636,196.0,0.3378,-7.11,ballybet,180.0,2.8,0.3571,-196.0,0.6622,85.42,8,5,8
Tobias Harris,Pistons @ Warriors,Warriors,Pistons,0.5,ballybet,112.0,2.12,0.4717,122.0,0.4505,-4.49,prophetexchange,-130.0,1.7692,0.5652,-122.0,0.5495,-2.78,7,5,8
Josh Giddey,Bulls @ Heat,Heat,Bulls,0.5,unknown,120.0,2.2,0.4545,134.0,0.4274,-5.97,ballybet,-159.0,1.6289,0.6139,-134.0,0.5726,-6.73,7,4,7
