player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Alperen Sengun,Pelicans @ Rockets,Rockets,Pelicans,45.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Amen Thompson,Pelicans @ Rockets,Rockets,Pelicans,41.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Andrew Wiggins,Bulls @ Heat,Heat,Bulls,32.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Ausar Thompson,Pistons @ Warriors,Warriors,Pistons,28.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Bam Adebayo,Bulls @ Heat,Heat,Bulls,22.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Brook Lopez,Magic @ Bucks,Bucks,Magic,28.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Cade Cunningham,Pistons @ Warriors,Warriors,Pistons,47.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Cj Mccollum,Pelicans @ Rockets,Rockets,Pelicans,14.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Coby White,Bulls @ Heat,Heat,Bulls,16.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Cole Anthony,Magic @ Bucks,Bucks,Magic,11.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Dennis Schroder,Pistons @ Warriors,Warriors,Pistons,19.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Dillon Brooks,Pelicans @ Rockets,Rockets,Pelicans,22.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Draymond Green,Pistons @ Warriors,Warriors,Pistons,34.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Franz Wagner,Magic @ Bucks,Bucks,Magic,20.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Giannis Antetokounmpo,Magic @ Bucks,Bucks,Magic,27.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Jabari Smith,Pelicans @ Rockets,Rockets,Pelicans,23.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Jalen Duren,Pistons @ Warriors,Warriors,Pistons,33.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Jalen Green,Pelicans @ Rockets,Rockets,Pelicans,16.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Jimmy Butler,Pistons @ Warriors,Warriors,Pistons,38.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Josh Giddey,Bulls @ Heat,Heat,Bulls,20.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Kelel Ware,Bulls @ Heat,Heat,Bulls,29.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Kelly Olynyk,Pelicans @ Rockets,Rockets,Pelicans,11.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Kyle Kuzma,Magic @ Bucks,Bucks,Magic,28.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Malik Beasley,Pistons @ Warriors,Warriors,Pistons,22.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Matas Buzelis,Bulls @ Heat,Heat,Bulls,13.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Paolo Banchero,Magic @ Bucks,Bucks,Magic,41.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Stephen Curry,Pistons @ Warriors,Warriors,Pistons,23.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Tari Eason,Pelicans @ Rockets,Rockets,Pelicans,32.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Taurean Prince,Magic @ Bucks,Bucks,Magic,18.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Tobias Harris,Pistons @ Warriors,Warriors,Pistons,14.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Trey Murphy Iii,Pelicans @ Rockets,Rockets,Pelicans,36.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Tyler Herro,Bulls @ Heat,Heat,Bulls,43.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Wendell Carter Jr,Magic @ Bucks,Bucks,Magic,13.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Yves Missi,Pelicans @ Rockets,Rockets,Pelicans,11.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Zion Williamson,Pelicans @ Rockets,Rockets,Pelicans,21.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,1,1,1
Aaron Nesmith,Pacers @ Hawks,Hawks,Pacers,12.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Andrew Nembhard,Pacers @ Hawks,Hawks,Pacers,27.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Austin Reaves,Lakers @ Celtics,Celtics,Lakers,15.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Bilal Coulibaly,Wizards @ Raptors,Raptors,Wizards,14.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Brandin Podziemski,Pistons @ Warriors,Warriors,Pistons,27.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Cam Thomas,Nets @ Hornets,Hornets,Nets,32.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Damian Lillard,Magic @ Bucks,Bucks,Magic,21.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Dangelo Russell,Nets @ Hornets,Hornets,Nets,24.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Derrick White,Lakers @ Celtics,Celtics,Lakers,30.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Dyson Daniels,Pacers @ Hawks,Hawks,Pacers,18.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Jakob Poeltl,Wizards @ Raptors,Raptors,Wizards,17.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Jakobe Walter,Wizards @ Raptors,Raptors,Wizards,11.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Jaxson Hayes,Lakers @ Celtics,Celtics,Lakers,10.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Jaylen Brown,Lakers @ Celtics,Celtics,Lakers,19.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Jayson Tatum,Lakers @ Celtics,Celtics,Lakers,24.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Jordan Poole,Wizards @ Raptors,Raptors,Wizards,16.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Jrue Holiday,Lakers @ Celtics,Celtics,Lakers,11.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Keon Johnson,Nets @ Hornets,Hornets,Nets,24.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Khris Middleton,Wizards @ Raptors,Raptors,Wizards,14.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Kristaps Porzingis,Lakers @ Celtics,Celtics,Lakers,35.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Kyshawn George,Wizards @ Raptors,Raptors,Wizards,13.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Lamelo Ball,Nets @ Hornets,Hornets,Nets,39.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Lebron James,Lakers @ Celtics,Celtics,Lakers,24.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Luka Doncic,Lakers @ Celtics,Celtics,Lakers,27.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Mark Williams,Nets @ Hornets,Hornets,Nets,17.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Miles Bridges,Nets @ Hornets,Hornets,Nets,19.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Moses Moody,Pistons @ Warriors,Warriors,Pistons,19.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Mouhamed Gueye,Pacers @ Hawks,Hawks,Pacers,9.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Myles Turner,Pacers @ Hawks,Hawks,Pacers,17.0,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
Onyeka Okongwu,Pacers @ Hawks,Hawks,Pacers,17.5,,,,,100.0,0.5,,,,,,100.0,0.5,,0,0,0
