player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Damian Lillard,Magic @ Bucks,Bucks,Magic,30.5,espnbet,115.0,2.15,0.4651,100.0,0.5,7.5,betmgm,100.0,2.0,0.5,100.0,0.5,0.0,16,15,16
Derrick White,Lakers @ Celtics,Celtics,Lakers,20.5,betrivers,-106.0,1.9434,0.5146,102.0,0.495,-3.8,bovada,105.0,2.05,0.4878,-102.0,0.5049,3.5,16,15,16
Franz Wagner,Magic @ Bucks,Bucks,Magic,28.5,hardrockbet,-105.0,1.9524,0.5122,101.0,0.4975,-2.87,caesars,-106.0,1.9434,0.5146,-101.0,0.5025,-2.34,15,15,16
Jaylen Brown,Lakers @ Celtics,Celtics,Lakers,28.5,draftkings,-110.0,1.9091,0.5238,100.0,0.5,-4.55,hardrockbet,-110.0,1.9091,0.5238,100.0,0.5,-4.55,16,15,16
Lebron James,Lakers @ Celtics,Celtics,Lakers,32.5,ballybet,-105.0,1.9524,0.5122,105.0,0.4878,-4.76,fanduel,-114.0,1.8772,0.5327,-105.0,0.5122,-3.85,16,15,16
Luka Doncic,Lakers @ Celtics,Celtics,Lakers,36.5,caesars,-106.0,1.9434,0.5146,-101.0,0.5025,-2.34,bovada,105.0,2.05,0.4878,101.0,0.4975,1.99,16,15,16
Paolo Banchero,Magic @ Bucks,Bucks,Magic,29.5,hardrockbet,-105.0,1.9524,0.5122,105.0,0.4878,-4.76,bovada,105.0,2.05,0.4878,-105.0,0.5122,5.0,16,15,16
Payton Pritchard,Lakers @ Celtics,Celtics,Lakers,16.5,bovada,105.0,2.05,0.4878,-101.0,0.5025,3.01,betmgm,-110.0,1.9091,0.5238,101.0,0.4975,-5.02,16,15,16
Bam Adebayo,Bulls @ Heat,Heat,Bulls,24.5,hardrockbet,-110.0,1.9091,0.5238,103.0,0.4926,-5.96,espnbet,105.0,2.05,0.4878,-103.0,0.5074,4.02,15,14,15
Draymond Green,Pistons @ Warriors,Warriors,Pistons,18.5,fanduel,-108.0,1.9259,0.5192,100.0,0.5,-3.71,hardrockbet,-105.0,1.9524,0.5122,100.0,0.5,-2.38,15,14,15
Stephen Curry,Pistons @ Warriors,Warriors,Pistons,35.5,betrivers,-108.0,1.9259,0.5192,102.0,0.495,-4.67,prophetexchange,110.0,2.1,0.4762,-102.0,0.5049,6.03,14,14,15
Ausar Thompson,Pistons @ Warriors,Warriors,Pistons,14.5,bet365,-105.0,1.9524,0.5122,107.0,0.4831,-5.68,fanduel,-102.0,1.9804,0.5049,-107.0,0.5169,2.37,14,13,14
Austin Reaves,Lakers @ Celtics,Celtics,Lakers,22.5,hardrockbet,-105.0,1.9524,0.5122,101.0,0.4975,-2.87,caesars,-113.0,1.885,0.5305,-101.0,0.5025,-5.28,14,13,14
Coby White,Bulls @ Heat,Heat,Bulls,25.5,betmgm,100.0,2.0,0.5,102.0,0.495,-1.0,hardrockbet,-110.0,1.9091,0.5238,-102.0,0.5049,-3.61,14,12,14
Josh Giddey,Bulls @ Heat,Heat,Bulls,23.5,fanatics,-105.0,1.9524,0.5122,100.0,0.5,-2.38,fanduel,-102.0,1.9804,0.5049,100.0,0.5,-0.98,14,13,14
Jrue Holiday,Lakers @ Celtics,Celtics,Lakers,12.5,ballybet,-106.0,1.9434,0.5146,100.0,0.5,-2.83,bovada,105.0,2.05,0.4878,100.0,0.5,2.5,14,13,14
Giannis Antetokounmpo,Magic @ Bucks,Bucks,Magic,34.5,draftkings,-105.0,1.9524,0.5122,102.0,0.495,-3.36,ballybet,-107.0,1.9346,0.5169,-102.0,0.5049,-2.32,13,13,13
Jalen Duren,Pistons @ Warriors,Warriors,Pistons,14.5,espnbet,-105.0,1.9524,0.5122,-102.0,0.5049,-1.42,hardrockbet,-110.0,1.9091,0.5238,102.0,0.495,-5.5,13,12,13
Kyle Kuzma,Magic @ Bucks,Bucks,Magic,16.5,fanatics,-105.0,1.9524,0.5122,100.0,0.5,-2.38,hardrockbet,-110.0,1.9091,0.5238,100.0,0.5,-4.55,12,12,12
Amen Thompson,Pelicans @ Rockets,Rockets,Pelicans,21.5,fanatics,-110.0,1.9091,0.5238,-108.0,0.5192,-0.88,fourwinds,-107.0,1.9346,0.5169,108.0,0.4808,-6.98,11,10,11
Andrew Wiggins,Bulls @ Heat,Heat,Bulls,21.5,caesars,-109.0,1.9174,0.5215,104.0,0.4902,-6.01,draftkings,-105.0,1.9524,0.5122,-104.0,0.5098,-0.47,11,11,11
Cade Cunningham,Pistons @ Warriors,Warriors,Pistons,35.5,fanduel,-114.0,1.8772,0.5327,105.0,0.4878,-8.43,caesars,-109.0,1.9174,0.5215,-105.0,0.5122,-1.79,11,11,11
Cj Mccollum,Pelicans @ Rockets,Rockets,Pelicans,21.5,bet365,-115.0,1.8696,0.5349,100.0,0.5,-6.52,betparx,-104.0,1.9615,0.5098,100.0,0.5,-1.92,11,10,11
Cole Anthony,Magic @ Bucks,Bucks,Magic,13.5,espnbet,100.0,2.0,0.5,113.0,0.4695,-6.1,caesars,108.0,2.08,0.4808,-113.0,0.5305,10.34,11,11,11
