player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Coby White,Bulls @ Heat,Heat,Bulls,29.5,hardrockbet,105.0,2.05,0.4878,106.0,0.4854,-0.49,fanduel,-106.0,1.9434,0.5146,-106.0,0.5146,0.01,19,18,19
Jaylen Brown,Lakers @ Celtics,Celtics,Lakers,34.5,draftkings,-110.0,1.9091,0.5238,100.0,0.5,-4.55,prophetexchange,118.0,2.18,0.4587,100.0,0.5,9.0,18,19,19
Cole Anthony,Magic @ Bucks,Bucks,Magic,17.5,betmgm,-105.0,1.9524,0.5122,118.0,0.4587,-10.44,prophetexchange,126.0,2.26,0.4425,-118.0,0.5413,22.33,17,18,18
Jimmy Butler,Pistons @ Warriors,Warriors,Pistons,31.5,hardrockbet,-105.0,1.9524,0.5122,116.0,0.463,-9.6,prophetexchange,101.0,2.01,0.4975,-116.0,0.537,7.94,17,18,18
Luka Doncic,Lakers @ Celtics,Celtics,Lakers,45.5,fanduel,-104.0,1.9615,0.5098,101.0,0.4975,-2.42,espnbet,-110.0,1.9091,0.5238,-101.0,0.5025,-4.07,17,18,18
Austin Reaves,Lakers @ Celtics,Celtics,Lakers,26.5,hardrockbet,-110.0,1.9091,0.5238,120.0,0.4545,-13.23,prophetexchange,132.0,2.32,0.431,-120.0,0.5455,26.56,16,17,17
Damian Lillard,Magic @ Bucks,Bucks,Magic,34.5,prophetexchange,130.0,2.3,0.4348,102.0,0.495,13.85,hardrockbet,100.0,2.0,0.5,-102.0,0.5049,0.98,17,16,17
Lebron James,Lakers @ Celtics,Celtics,Lakers,41.5,draftkings,-105.0,1.9524,0.5122,107.0,0.4831,-5.68,betonline,100.0,2.0,0.5,-107.0,0.5169,3.38,17,17,17
Cade Cunningham,Pistons @ Warriors,Warriors,Pistons,41.5,hardrockbet,-105.0,1.9524,0.5122,104.0,0.4902,-4.29,prophetexchange,112.0,2.12,0.4717,-104.0,0.5098,8.08,15,16,16
Stephen Curry,Pistons @ Warriors,Warriors,Pistons,39.5,bet365,-110.0,1.9091,0.5238,102.0,0.495,-5.5,espnbet,-105.0,1.9524,0.5122,-102.0,0.5049,-1.42,16,16,16
Bam Adebayo,Bulls @ Heat,Heat,Bulls,35.5,prophetexchange,124.0,2.24,0.4464,103.0,0.4926,10.34,espnbet,-105.0,1.9524,0.5122,-103.0,0.5074,-0.94,15,14,15
Draymond Green,Pistons @ Warriors,Warriors,Pistons,25.5,fanduel,-108.0,1.9259,0.5192,-101.0,0.5025,-3.22,prophetexchange,115.0,2.15,0.4651,101.0,0.4975,6.96,14,15,15
Jalen Duren,Pistons @ Warriors,Warriors,Pistons,26.5,betmgm,105.0,2.05,0.4878,111.0,0.4739,-2.85,fanatics,-110.0,1.9091,0.5238,-111.0,0.5261,0.44,15,14,15
Jrue Holiday,Lakers @ Celtics,Celtics,Lakers,16.5,betparx,100.0,2.0,0.5,116.0,0.463,-7.4,fanduel,100.0,2.0,0.5,-116.0,0.537,7.4,15,15,15
Tyler Herro,Bulls @ Heat,Heat,Bulls,37.5,betrivers,-109.0,1.9174,0.5215,100.0,0.5,-4.13,fanduel,-102.0,1.9804,0.5049,100.0,0.5,-0.98,15,15,15
Andrew Wiggins,Bulls @ Heat,Heat,Bulls,26.5,betonline,-106.0,1.9434,0.5146,104.0,0.4902,-4.73,fanatics,-105.0,1.9524,0.5122,-104.0,0.5098,-0.47,14,14,14
Derrick White,Lakers @ Celtics,Celtics,Lakers,24.5,espnbet,-105.0,1.9524,0.5122,-101.0,0.5025,-1.89,prophetexchange,110.0,2.1,0.4762,101.0,0.4975,4.48,13,14,14
Giannis Antetokounmpo,Magic @ Bucks,Bucks,Magic,46.5,fanduel,-106.0,1.9434,0.5146,-101.0,0.5025,-2.34,bet365,-110.0,1.9091,0.5238,101.0,0.4975,-5.02,14,14,14
Jordan Poole,Wizards @ Raptors,Raptors,Wizards,28.5,bovada,-102.0,1.9804,0.5049,100.0,0.5,-0.98,hardrockbet,-105.0,1.9524,0.5122,100.0,0.5,-2.38,14,14,14
Amen Thompson,Pelicans @ Rockets,Rockets,Pelicans,30.5,betmgm,105.0,2.05,0.4878,-108.0,0.5192,6.44,fanduel,-104.0,1.9615,0.5098,108.0,0.4808,-5.69,13,12,13
Jayson Tatum,Lakers @ Celtics,Celtics,Lakers,43.5,fanduel,-104.0,1.9615,0.5098,105.0,0.4878,-4.32,fanatics,-110.0,1.9091,0.5238,-105.0,0.5122,-2.22,13,13,13
Josh Giddey,Bulls @ Heat,Heat,Bulls,32.5,fanduel,-104.0,1.9615,0.5098,107.0,0.4831,-5.24,bovada,115.0,2.15,0.4651,-107.0,0.5169,11.13,13,13,13
Kyle Kuzma,Magic @ Bucks,Bucks,Magic,23.5,caesars,-103.0,1.9709,0.5074,102.0,0.495,-2.44,fanduel,-102.0,1.9804,0.5049,-102.0,0.5049,-0.01,13,13,13
Rj Barrett,Wizards @ Raptors,Raptors,Wizards,33.5,fanatics,-105.0,1.9524,0.5122,107.0,0.4831,-5.68,espnbet,-110.0,1.9091,0.5238,-107.0,0.5169,-1.32,13,13,13
