player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Giannis Antetokounmpo,Magic @ Bucks,Bucks,Magic,40.5,fourwinds,-106.0,1.9434,0.5146,101.0,0.4975,-3.32,prophetexchange,105.0,2.05,0.4878,-101.0,0.5025,3.01,16,16,17
Jrue Holiday,Lakers @ Celtics,Celtics,Lakers,12.5,espnbet,-105.0,1.9524,0.5122,105.0,0.4878,-4.76,draftkings,100.0,2.0,0.5,-105.0,0.5122,2.44,16,16,17
Andrew Wiggins,Bulls @ Heat,Heat,Bulls,22.5,fanatics,-105.0,1.9524,0.5122,105.0,0.4878,-4.76,ballybet,-104.0,1.9615,0.5098,-105.0,0.5122,0.47,16,15,16
Cade Cunningham,Pistons @ Warriors,Warriors,Pistons,31.5,draftkings,-110.0,1.9091,0.5238,100.0,0.5,-4.55,bovada,-110.0,1.9091,0.5238,100.0,0.5,-4.55,16,15,16
Cole Anthony,Magic @ Bucks,Bucks,Magic,14.5,espnbet,-105.0,1.9524,0.5122,103.0,0.4926,-3.82,prophetexchange,-104.0,1.9615,0.5098,-103.0,0.5074,-0.47,15,15,16
Damian Lillard,Magic @ Bucks,Bucks,Magic,28.5,fanduel,-106.0,1.9434,0.5146,100.0,0.5,-2.83,draftkings,-110.0,1.9091,0.5238,100.0,0.5,-4.55,16,15,16
Derrick White,Lakers @ Celtics,Celtics,Lakers,20.5,betrivers,-104.0,1.9615,0.5098,104.0,0.4902,-3.85,draftkings,-105.0,1.9524,0.5122,-104.0,0.5098,-0.47,16,15,16
Jaylen Brown,Lakers @ Celtics,Celtics,Lakers,29.5,betrivers,-106.0,1.9434,0.5146,112.0,0.4717,-8.33,fanatics,-105.0,1.9524,0.5122,-112.0,0.5283,3.15,16,15,16
Josh Giddey,Bulls @ Heat,Heat,Bulls,25.5,ballybet,-105.0,1.9524,0.5122,100.0,0.5,-2.38,fanatics,-110.0,1.9091,0.5238,100.0,0.5,-4.55,16,15,16
Kyle Kuzma,Magic @ Bucks,Bucks,Magic,20.5,espnbet,-105.0,1.9524,0.5122,100.0,0.5,-2.38,caesars,-103.0,1.9709,0.5074,100.0,0.5,-1.45,16,15,16
Luka Doncic,Lakers @ Celtics,Celtics,Lakers,37.5,bovada,105.0,2.05,0.4878,101.0,0.4975,1.99,espnbet,-105.0,1.9524,0.5122,-101.0,0.5025,-1.89,16,15,16
Matas Buzelis,Bulls @ Heat,Heat,Bulls,17.5,draftkings,-110.0,1.9091,0.5238,101.0,0.4975,-5.02,fanatics,-110.0,1.9091,0.5238,-101.0,0.5025,-4.07,16,15,16
Stephen Curry,Pistons @ Warriors,Warriors,Pistons,33.5,betrivers,-107.0,1.9346,0.5169,103.0,0.4926,-4.7,caesars,100.0,2.0,0.5,-103.0,0.5074,1.48,16,15,16
Tobias Harris,Pistons @ Warriors,Warriors,Pistons,19.5,betmgm,-105.0,1.9524,0.5122,101.0,0.4975,-2.87,ballybet,-105.0,1.9524,0.5122,-101.0,0.5025,-1.89,16,15,16
Tyler Herro,Bulls @ Heat,Heat,Bulls,30.5,draftkings,-105.0,1.9524,0.5122,100.0,0.5,-2.38,fanatics,-105.0,1.9524,0.5122,100.0,0.5,-2.38,16,15,16
Bam Adebayo,Bulls @ Heat,Heat,Bulls,31.5,espnbet,-105.0,1.9524,0.5122,100.0,0.5,-2.38,betmgm,-110.0,1.9091,0.5238,100.0,0.5,-4.55,15,14,15
Coby White,Bulls @ Heat,Heat,Bulls,24.5,fanduel,-113.0,1.885,0.5305,-104.0,0.5098,-3.9,prophetexchange,121.0,2.21,0.4525,104.0,0.4902,8.33,14,14,15
Draymond Green,Pistons @ Warriors,Warriors,Pistons,18.5,betrivers,-103.0,1.9709,0.5074,109.0,0.4785,-5.69,draftkings,-110.0,1.9091,0.5238,-109.0,0.5215,-0.44,15,14,15
Jalen Duren,Pistons @ Warriors,Warriors,Pistons,23.5,espnbet,100.0,2.0,0.5,107.0,0.4831,-3.38,fanduel,-102.0,1.9804,0.5049,-107.0,0.5169,2.37,15,14,15
Jimmy Butler,Pistons @ Warriors,Warriors,Pistons,25.5,fanduel,-106.0,1.9434,0.5146,102.0,0.495,-3.8,draftkings,-105.0,1.9524,0.5122,-102.0,0.5049,-1.42,15,14,15
Malik Beasley,Pistons @ Warriors,Warriors,Pistons,18.5,draftkings,-105.0,1.9524,0.5122,104.0,0.4902,-4.29,ballybet,-112.0,1.8929,0.5283,-104.0,0.5098,-3.5,15,14,15
Moses Moody,Pistons @ Warriors,Warriors,Pistons,15.5,espnbet,105.0,2.05,0.4878,100.0,0.5,2.5,caesars,-113.0,1.885,0.5305,100.0,0.5,-5.75,15,14,15
