player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Ausar Thompson,Pistons @ Warriors,Warriors,Pistons,11.5,prizepicks,100.0,2.0,0.5,103.0,0.4926,-1.48,prizepicks,100.0,2.0,0.5,-103.0,0.5074,1.48,18,19,19
Austin Reaves,Lakers @ Celtics,Celtics,Lakers,17.5,fanduel,-102.0,1.9804,0.5049,107.0,0.4831,-4.33,prophetexchange,125.0,2.25,0.4444,-107.0,0.5169,16.3,18,19,19
Bam Adebayo,Bulls @ Heat,Heat,Bulls,20.5,pinnacle,106.0,2.06,0.4854,120.0,0.4545,-6.37,prizepicks,100.0,2.0,0.5,-120.0,0.5455,9.1,19,18,19
Brook Lopez,Magic @ Bucks,Bucks,Magic,11.5,prizepicks,100.0,2.0,0.5,104.0,0.4902,-1.96,prizepicks,100.0,2.0,0.5,-104.0,0.5098,1.96,19,18,19
Franz Wagner,Magic @ Bucks,Bucks,Magic,24.5,prizepicks,100.0,2.0,0.5,117.0,0.4608,-7.84,prizepicks,100.0,2.0,0.5,-117.0,0.5392,7.84,19,19,19
Jaylen Brown,Lakers @ Celtics,Celtics,Lakers,23.5,fanduel,104.0,2.04,0.4902,108.0,0.4808,-1.92,prophetexchange,109.0,2.09,0.4785,-108.0,0.5192,8.51,18,19,19
Jimmy Butler,Pistons @ Warriors,Warriors,Pistons,20.5,ballybet,100.0,2.0,0.5,101.0,0.4975,-0.5,prizepicks,100.0,2.0,0.5,-101.0,0.5025,0.5,19,19,19
Jrue Holiday,Lakers @ Celtics,Celtics,Lakers,9.5,ballybet,112.0,2.12,0.4717,110.0,0.4762,0.95,hardrockbet,125.0,2.25,0.4444,-110.0,0.5238,17.86,18,19,19
Kelel Ware,Bulls @ Heat,Heat,Bulls,10.5,prizepicks,100.0,2.0,0.5,103.0,0.4926,-1.48,prizepicks,100.0,2.0,0.5,-103.0,0.5074,1.48,19,18,19
Matas Buzelis,Bulls @ Heat,Heat,Bulls,12.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,19,18,19
Stephen Curry,Pistons @ Warriors,Warriors,Pistons,28.5,pinnacle,108.0,2.08,0.4808,113.0,0.4695,-2.34,prizepicks,100.0,2.0,0.5,-113.0,0.5305,6.1,19,18,19
Andrew Wiggins,Bulls @ Heat,Heat,Bulls,18.5,unknown,100.0,2.0,0.5,110.0,0.4762,-4.76,prizepicks,100.0,2.0,0.5,-110.0,0.5238,4.76,18,17,18
Cade Cunningham,Pistons @ Warriors,Warriors,Pistons,26.5,prizepicks,100.0,2.0,0.5,104.0,0.4902,-1.96,prizepicks,100.0,2.0,0.5,-104.0,0.5098,1.96,18,17,18
Damian Lillard,Magic @ Bucks,Bucks,Magic,24.5,betonline,110.0,2.1,0.4762,116.0,0.463,-2.77,espnbet,105.0,2.05,0.4878,-116.0,0.537,10.09,18,18,18
Derrick White,Lakers @ Celtics,Celtics,Lakers,16.5,betparx,-108.0,1.9259,0.5192,127.0,0.4405,-15.16,fanduel,-106.0,1.9434,0.5146,-127.0,0.5595,8.73,18,18,18
Giannis Antetokounmpo,Magic @ Bucks,Bucks,Magic,28.5,prizepicks,100.0,2.0,0.5,129.0,0.4367,-12.66,prizepicks,100.0,2.0,0.5,-129.0,0.5633,12.66,18,17,18
Kentavious Caldwellpope,Magic @ Bucks,Bucks,Magic,7.5,pinnacle,118.0,2.18,0.4587,121.0,0.4525,-1.35,fanduel,100.0,2.0,0.5,-121.0,0.5475,9.5,18,17,18
Kyle Kuzma,Magic @ Bucks,Bucks,Magic,13.5,prizepicks,100.0,2.0,0.5,113.0,0.4695,-6.1,fanduel,100.0,2.0,0.5,-113.0,0.5305,6.1,18,17,18
Malik Beasley,Pistons @ Warriors,Warriors,Pistons,15.5,prophetexchange,110.0,2.1,0.4762,110.0,0.4762,0.0,ballybet,102.0,2.02,0.495,-110.0,0.5238,5.81,18,17,18
Tobias Harris,Pistons @ Warriors,Warriors,Pistons,14.5,fanduel,100.0,2.0,0.5,107.0,0.4831,-3.38,prizepicks,100.0,2.0,0.5,-107.0,0.5169,3.38,18,18,18
