prop_type,total_players,players_with_both_markets,total_bookmakers,max_bookmakers_per_player,avg_bookmakers_per_player
points,129,129,1473,19,11.42
points+rebounds+assists,127,127,1191,19,9.38
points+rebounds,127,127,1142,17,8.99
rebounds,126,126,1383,18,10.98
points+assists,126,126,974,16,7.73
rebounds+assists,126,126,919,17,7.29
assists,125,125,1172,20,9.38
steals,124,124,577,12,4.65
blocks,123,123,438,12,3.56
blocks+steals,122,122,238,6,1.95
turnovers,122,122,285,7,2.34
threePointersMade,117,117,1256,19,10.74
doubleDouble,95,0,0,0,0.0
firstBasket,91,0,0,0,0.0
fantasyScore,72,72,35,1,0.49
fieldGoalsMade,48,48,12,1,0.25
tripleDouble,18,0,0,0,0.0
