player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Jrue Holiday,Lakers @ Celtics,Celtics,Lakers,7.5,ballybet,112.0,2.12,0.4717,117.0,0.4608,-2.31,prophetexchange,140.0,2.4,0.4167,-117.0,0.5392,29.41,16,15,17
Austin Reaves,Lakers @ Celtics,Celtics,Lakers,8.5,bovada,105.0,2.05,0.4878,106.0,0.4854,-0.49,hardrockbet,105.0,2.05,0.4878,-106.0,0.5146,5.49,16,14,16
Coby White,Bulls @ Heat,Heat,Bulls,7.5,hardrockbet,-110.0,1.9091,0.5238,-103.0,0.5074,-3.13,draftkings,-105.0,1.9524,0.5122,103.0,0.4926,-3.82,16,14,16
Damian Lillard,Magic @ Bucks,Bucks,Magic,9.5,fanduel,-102.0,1.9804,0.5049,107.0,0.4831,-4.33,prophetexchange,136.0,2.36,0.4237,-107.0,0.5169,21.99,15,14,16
Payton Pritchard,Lakers @ Celtics,Celtics,Lakers,6.5,prophetexchange,100.0,2.0,0.5,102.0,0.495,-1.0,caesars,-109.0,1.9174,0.5215,-102.0,0.5049,-3.19,16,13,16
Stephen Curry,Pistons @ Warriors,Warriors,Pistons,10.5,betmgm,110.0,2.1,0.4762,107.0,0.4831,1.45,hardrockbet,-115.0,1.8696,0.5349,-107.0,0.5169,-3.36,16,14,16
Cade Cunningham,Pistons @ Warriors,Warriors,Pistons,14.5,bovada,105.0,2.05,0.4878,107.0,0.4831,-0.96,prophetexchange,-117.0,1.8547,0.5392,-107.0,0.5169,-4.13,14,13,15
Derrick White,Lakers @ Celtics,Celtics,Lakers,7.5,hardrockbet,-110.0,1.9091,0.5238,137.0,0.4219,-19.46,bovada,105.0,2.05,0.4878,-137.0,0.5781,18.51,15,13,15
Giannis Antetokounmpo,Magic @ Bucks,Bucks,Magic,17.5,prophetexchange,130.0,2.3,0.4348,118.0,0.4587,5.5,espnbet,100.0,2.0,0.5,-118.0,0.5413,8.26,15,12,15
Jalen Duren,Pistons @ Warriors,Warriors,Pistons,14.5,betmgm,105.0,2.05,0.4878,111.0,0.4739,-2.85,fanatics,-115.0,1.8696,0.5349,-111.0,0.5261,-1.64,15,13,15
Jimmy Butler,Pistons @ Warriors,Warriors,Pistons,11.5,espnbet,110.0,2.1,0.4762,115.0,0.4651,-2.33,underdog,-118.0,1.8475,0.5413,-115.0,0.5349,-1.18,15,13,15
Luka Doncic,Lakers @ Celtics,Celtics,Lakers,16.5,espnbet,100.0,2.0,0.5,100.0,0.5,0.0,bet365,105.0,2.05,0.4878,100.0,0.5,2.5,15,14,15
Ausar Thompson,Pistons @ Warriors,Warriors,Pistons,8.5,caesars,100.0,2.0,0.5,102.0,0.495,-1.0,fanduel,114.0,2.14,0.4673,-102.0,0.5049,8.05,13,12,14
Cole Anthony,Magic @ Bucks,Bucks,Magic,6.5,bet365,-105.0,1.9524,0.5122,-107.0,0.5169,0.92,bovada,105.0,2.05,0.4878,107.0,0.4831,-0.96,14,12,14
Franz Wagner,Magic @ Bucks,Bucks,Magic,9.5,espnbet,115.0,2.15,0.4651,119.0,0.4566,-1.83,bet365,105.0,2.05,0.4878,-119.0,0.5434,11.4,14,12,14
