player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Damian Lillard,Magic @ Bucks,Bucks,Magic,3.5,unknown,-115.0,1.8696,0.5349,100.0,0.5,-6.52,betonline,126.0,2.26,0.4425,100.0,0.5,13.0,18,16,18
Jalen Duren,Pistons @ Warriors,Warriors,Pistons,11.5,draftkings,100.0,2.0,0.5,108.0,0.4808,-3.84,espnbet,-115.0,1.8696,0.5349,-108.0,0.5192,-2.93,18,16,18
Jayson Tatum,Lakers @ Celtics,Celtics,Lakers,8.5,betmgm,100.0,2.0,0.5,100.0,0.5,0.0,betrivers,-105.0,1.9524,0.5122,100.0,0.5,-2.38,18,16,18
Wendell Carter Jr,Magic @ Bucks,Bucks,Magic,7.5,fanduel,-104.0,1.9615,0.5098,-102.0,0.5049,-0.96,betrivers,100.0,2.0,0.5,102.0,0.495,-1.0,18,16,18
Ausar Thompson,Pistons @ Warriors,Warriors,Pistons,5.5,betmgm,110.0,2.1,0.4762,112.0,0.4717,-0.94,betrivers,-110.0,1.9091,0.5238,-112.0,0.5283,0.86,17,15,17
Cole Anthony,Magic @ Bucks,Bucks,Magic,3.5,betrivers,-103.0,1.9709,0.5074,102.0,0.495,-2.44,fanduel,-104.0,1.9615,0.5098,-102.0,0.5049,-0.96,16,16,17
Dalton Knecht,Lakers @ Celtics,Celtics,Lakers,2.5,fanatics,-115.0,1.8696,0.5349,-107.0,0.5169,-3.36,hardrockbet,105.0,2.05,0.4878,107.0,0.4831,-0.96,17,16,17
Jimmy Butler,Pistons @ Warriors,Warriors,Pistons,5.5,espnbet,120.0,2.2,0.4545,115.0,0.4651,2.32,betmgm,120.0,2.2,0.4545,-115.0,0.5349,17.68,17,15,17
Josh Giddey,Bulls @ Heat,Heat,Bulls,8.5,ballybet,-107.0,1.9346,0.5169,100.0,0.5,-3.27,fanduel,-104.0,1.9615,0.5098,100.0,0.5,-1.92,17,16,17
Paolo Banchero,Magic @ Bucks,Bucks,Magic,6.5,prizepicks,100.0,2.0,0.5,100.0,0.5,0.0,prophetexchange,120.0,2.2,0.4545,100.0,0.5,10.0,17,16,17
