player,game,home_team,away_team,line,over_bookmaker,over_odds,over_decimal_odds,over_implied_prob,over_fair_odds,over_fair_prob,over_ev,under_bookmaker,under_odds,under_decimal_odds,under_implied_prob,under_fair_odds,under_fair_prob,under_ev,bookmakers_over,bookmakers_under,total_bookmakers
Lebron James,Lakers @ Celtics,Celtics,Lakers,3.5,draftkings,120.0,2.2,0.4545,100.0,0.5,10.0,bet365,-110.0,1.9091,0.5238,100.0,0.5,-4.55,6,7,7
Cade Cunningham,Pistons @ Warriors,Warriors,Pistons,4.5,prophetexchange,132.0,2.32,0.431,114.0,0.4673,8.41,prizepicks,-118.0,1.8475,0.5413,-114.0,0.5327,-1.58,6,6,6
Damian Lillard,Magic @ Bucks,Bucks,Magic,2.5,draftkings,130.0,2.3,0.4348,100.0,0.5,15.0,fliff,120.0,2.2,0.4545,100.0,0.5,10.0,5,6,6
Jaylen Brown,Lakers @ Celtics,Celtics,Lakers,2.5,espnbet,105.0,2.05,0.4878,103.0,0.4926,0.98,prizepicks,-118.0,1.8475,0.5413,-103.0,0.5074,-6.26,6,6,6
Andrew Wiggins,Bulls @ Heat,Heat,Bulls,1.5,draftkings,-115.0,1.8696,0.5349,-102.0,0.5049,-5.6,bet365,-110.0,1.9091,0.5238,102.0,0.495,-5.5,5,5,5
Draymond Green,Pistons @ Warriors,Warriors,Pistons,2.5,prizepicks,-118.0,1.8475,0.5413,-143.0,0.5885,8.73,bet365,135.0,2.35,0.4255,143.0,0.4115,-3.3,5,5,5
Josh Giddey,Bulls @ Heat,Heat,Bulls,2.5,prophetexchange,-103.0,1.9709,0.5074,-117.0,0.5392,6.27,bet365,115.0,2.15,0.4651,117.0,0.4608,-0.93,5,4,5
Luka Doncic,Lakers @ Celtics,Celtics,Lakers,3.5,prizepicks,-118.0,1.8475,0.5413,-108.0,0.5192,-4.08,fliff,100.0,2.0,0.5,108.0,0.4808,-3.84,5,5,5
Paolo Banchero,Magic @ Bucks,Bucks,Magic,2.5,draftkings,-115.0,1.8696,0.5349,-106.0,0.5146,-3.79,bet365,105.0,2.05,0.4878,106.0,0.4854,-0.49,5,5,5
Tyler Herro,Bulls @ Heat,Heat,Bulls,2.5,bet365,-110.0,1.9091,0.5238,101.0,0.4975,-5.02,prizepicks,-118.0,1.8475,0.5413,-101.0,0.5025,-7.16,5,5,5
