player,prop_type,direction,line,bookmaker,odds,fair_odds,ev
Seth Curry,threePointersMade,over,1.5,draftkings,2500.0,146.0,956.9
Dalton Knecht,assists,over,0.5,hardrockbet,1750.0,105.0,802.43
Jonathan Isaac,assists,over,0.5,hardrockbet,2000.0,135.0,793.55
Simone Fontecchio,assists,over,0.5,hardrockbet,1000.0,-115.0,488.39
Dorian Finneysmith,assists,over,0.5,hardrockbet,700.0,-177.0,411.2
Ron Holland,assists,over,1.0,hardrockbet,800.0,100.0,350.0
Luka Doncic,blocks,over,0.5,caesars,1100.0,191.0,312.32
Trendon Watford,threePointersMade,over,0.5,draftkings,750.0,132.0,266.35
Jayson Tatum,blocks,over,0.5,caesars,700.0,151.0,218.72
Kristaps Porzingis,assists,over,1.5,bovada,400.0,-156.0,204.7
Lebron James,blocks,over,0.5,caesars,550.0,119.0,196.79
Paolo Banchero,blocks,over,0.5,caesars,550.0,121.0,194.12
Isaiah Stewart,assists,over,1.0,hardrockbet,450.0,100.0,175.0
Jalen Smith,assists,over,1.0,hardrockbet,425.0,100.0,162.5
Trey Murphy Iii,threePointersMade,over,2.0,unknown,425.0,100.0,162.5
Ben Sheppard,steals,over,0.5,draftkings,310.0,-161.0,152.93
Richaun Holmes,blocks,over,0.5,draftkings,360.0,-117.0,148.03
Scottie Barnes,blocks,over,0.5,draftkings,265.0,-203.0,144.55
Miles Bridges,blocks,over,0.5,hardrockbet,350.0,-118.0,143.59
Bam Adebayo,blocks,over,0.5,caesars,350.0,-114.0,139.71
Marcus Smart,steals,over,0.5,draftkings,310.0,-140.0,139.15
Zion Williamson,rebounds,over,6.0,unknown,375.0,100.0,137.5
Rj Barrett,steals,over,0.5,draftkings,265.0,-183.0,136.05
Jamal Shead,steals,over,0.5,draftkings,275.0,-162.0,131.86
Kentavious Caldwellpope,assists,over,1.5,hardrockbet,450.0,138.0,131.11
Malik Beasley,assists,over,1.5,hardrockbet,575.0,196.0,128.01
Moussa Diabate,steals,over,0.5,hardrockbet,325.0,-113.0,125.46
Dangelo Russell,steals,over,0.5,hardrockbet,260.0,-159.0,121.0
