player,prop_type,fair_line,book_line,bet_type,ev,edge,score,implied_prob,raw_true_prob,true_prob,american_odds,bookmaker,total_bookmakers,game
Kevin Huerter,rebounds+assists,6.5,6.5,OVER,-5.42%,-2.7%,-5.0677,50.0%,47.3%,47.3%,+100,median(betmgm),7,Bulls @ Kings
Karlanthony Towns,threePointersMade,2.5,2.5,OVER,-5.94%,-2.4%,-5.375700000000001,40.8%,38.4%,38.4%,+145,median(espnbet),13,Knicks @ Hornets
Mikal Bridges,assists,4.5,4.5,OVER,-5.86%,-2.9%,-5.456000000000001,48.8%,45.9%,45.9%,+105,median(bet365),18,Knicks @ Hornets
Jakob Poeltl,rebounds,7.5,7.5,OVER,-5.98%,-2.8%,-5.535200000000001,47.2%,44.4%,44.4%,+112,median(betonline),11,Raptors @ Warriors
Dangelo Russell,threePointersMade,2.5,2.5,OVER,-6.00%,-2.9%,-5.5638000000000005,47.6%,44.8%,44.8%,+110,median(draftkings),17,Nets @ Pacers
Malik Monk,rebounds,4.5,4.5,OVER,-6.07%,-2.8%,-5.6144,46.9%,44.1%,44.1%,+113,median(bovada),12,Bulls @ Kings
Jamison Battle,assists,1.5,1.5,OVER,-6.25%,-2.5%,-5.637500000000001,40.0%,37.5%,37.5%,+150,median(betmgm),7,Raptors @ Warriors
Demar Derozan,assists,5.5,5.5,OVER,-6.11%,-2.8%,-5.641900000000002,46.5%,43.7%,43.7%,+115,median(hardrockbet),15,Bulls @ Kings
Nick Jr Smith,rebounds,2.5,2.5,OVER,-6.11%,-2.8%,-5.641900000000002,46.5%,43.7%,43.7%,+115,median(espnbet),8,Knicks @ Hornets
Mark Williams,rebounds,10.5,10.5,OVER,-6.12%,-3.1%,-5.722200000000001,50.0%,46.9%,46.9%,+100,median(unknown),14,Knicks @ Hornets
Luka Doncic,rebounds,8.5,8.5,UNDER,-6.12%,-3.1%,-5.722200000000001,50.0%,46.9%,46.9%,+100,median(bovada),12,Bucks @ Lakers
Miles Bridges,rebounds,6.5,6.5,UNDER,-6.12%,-3.1%,-5.722200000000001,50.0%,46.9%,46.9%,+100,median(fanduel),15,Knicks @ Hornets
Moses Moody,assists,1.5,1.5,OVER,-6.12%,-3.1%,-5.722200000000001,50.0%,46.9%,46.9%,+100,median(bet365),7,Raptors @ Warriors
Daquan Jeffries,points+rebounds+assists,14.5,14.5,OVER,-6.12%,-3.1%,-5.722200000000001,50.0%,46.9%,46.9%,+100,median(bovada),9,Knicks @ Hornets
Josh Green,points,7.5,7.5,OVER,-6.12%,-3.1%,-5.722200000000001,50.0%,46.9%,46.9%,+100,median(espnbet),11,Knicks @ Hornets
Kyle Kuzma,rebounds+assists,7.5,7.5,UNDER,-6.12%,-3.1%,-5.722200000000001,50.0%,46.9%,46.9%,+100,median(hardrockbet),5,Bucks @ Lakers
Aaron Nesmith,rebounds+assists,5.5,5.5,OVER,-6.12%,-3.1%,-5.722200000000001,50.0%,46.9%,46.9%,+100,median(bet365),5,Nets @ Pacers
